,SNo,Date,StartupName,IndustryVertical,SubVertical,City,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,month,yearmonth,CleanedInvestmentType,CleanedAmount
0,0,05/09/2019,FPL Technologies,FinTech,Financial Services,Pune,"Matrix Partners India, Sequoia India",Maiden Round,"4,500,000",nan,2019,9,201909,Other,4500000.0
1,1,04/09/2019,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,"3,300,000",nan,2019,9,201909,Series A,3300000.0
2,2,04/09/2019,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,"6,000,000",nan,2019,9,201909,Other,6000000.0
3,3,04/09/2019,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,PreSeries A,"5,000,000",nan,2019,9,201909,Series A,5000000.0
4,4,04/09/2019,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,"18,000,000",nan,2019,9,201909,Series A,18000000.0
5,5,04/09/2019,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,"10,00,000",nan,2019,9,201909,Seed,1000000.0
6,6,04/09/2019,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,"10,000,000",nan,2019,9,201909,Series A,10000000.0
7,7,04/09/2019,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,"450,000,000",nan,2019,9,201909,Series C,450000000.0
8,8,03/09/2019,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,"India Quotient, Axilor Ventures",Series A,"5,000,000",nan,2019,9,201909,Series A,5000000.0
9,10,01/08/2019,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,"20,000,000",nan,2019,8,201908,Series C,20000000.0
10,11,01/08/2019,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,"5,000,000",nan,2019,8,201908,Series A,5000000.0
11,12,01/08/2019,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,nan,Seed Funding Round,"1,600,000",nan,2019,8,201908,Other,1600000.0
12,13,01/08/2019,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Single Venture,"140,000,000",nan,2019,8,201908,Other,140000000.0
13,14,01/08/2019,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,"38,080,000",nan,2019,8,201908,Other,38080000.0
14,15,12/08/2019,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,"125,000,000",nan,2019,8,201908,Other,125000000.0
15,16,13/08/2019,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,"11,000,000",nan,2019,8,201908,Other,11000000.0
16,17,13/08/2019,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,"51,000,000",nan,2019,8,201908,Series C,51000000.0
17,18,23/08/2019,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,"37,000,000",nan,2019,8,201908,Series B,37000000.0
18,19,23/08/2019,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed Funding,"500,000",nan,2019,8,201908,Other,500000.0
19,20,23/08/2019,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,"110,000,000",nan,2019,8,201908,Other,110000000.0
20,21,22/08/2019,INDwealth,FinTech,Wealth Management,Gurgaon,Tiger Global Management,Venture Round,"15,000,000",nan,2019,8,201908,Other,15000000.0
21,22,21/08/2019,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,"6,590,000",nan,2019,8,201908,Series C,6590000.0
22,23,23/08/2019,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed Funding,"10,00,000",nan,2019,8,201908,Other,1000000.0
23,24,19/08/2019,Mishry Reviews,Services,Product Review,Gurgaon,Vir Sanghvi,Series A,Undisclosed,nan,2019,8,201908,Series A,
24,25,19/08/2019,Grofers,E-Commerce,Grocery Delivery,Gurgaon,Softbank Vision Fund,Series F,"70,000,000",nan,2019,8,201908,Other,70000000.0
25,26,27/08/2019,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,"3,900,000,000",nan,2019,8,201908,Series B,50000000.0
26,27,02/07/2019,RenewBuy,Finance,Auto Insurance,Gurgaon,"Lok Capital, IIFL Wealth",Series B,"19,000,000",nan,2019,7,201907,Series B,19000000.0
27,28,02/07/2019,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,PreSeries A,"2,500,000",nan,2019,7,201907,Series A,2500000.0
28,29,01/07/2019,WizCounsel,Compliance,Consulting,New Delhi,Kapil Dev,Angel,"145,000",nan,2019,7,201907,Seed,145000.0
29,30,03/07/2019,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,"1,000,000",nan,2019,7,201907,Other,1000000.0
30,31,01/07/2019,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,"38,080,000",nan,2019,7,201907,Series C,38080000.0
31,32,04/07/2019,Daalchini Technologies,Food and Beverage,Digital Vending Machine,New Delhi,Artha Venture,Seed Funding,"500,000",nan,2019,7,201907,Other,500000.0
32,33,10/07/2019,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity Round,"150,000,000",nan,2019,7,201907,Other,150000000.0
33,34,11/07/2019,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,"60,000,000",nan,2019,7,201907,Other,60000000.0
34,35,10/07/2019,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,"16,000,000",nan,2019,7,201907,Series B,16000000.0
35,36,10/07/2019,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,"5,750,000",nan,2019,7,201907,Series B,5750000.0
36,37,10/07/2019,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,"2,500,000",nan,2019,7,201907,Series A,2500000.0
37,38,09/07/2019,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,"1,000,000",nan,2019,7,201907,Series A,1000000.0
38,39,08/07/2019,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,"319,605",nan,2019,7,201907,Other,319605.0
39,40,05/06/2019,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,"5,10,00,000",nan,2019,6,201906,Series C,51000000.0
40,41,04/06/2019,Bira91,Food and Beverage,Brewery,New Delhi,Anicut Capital,Debt Funding,"1,00,00,000",nan,2019,6,201906,Other,10000000.0
41,42,03/06/2019,FabHotels,E-Commerce,Hospitality,Gurgaon,"Goldman Sachs, Accel Partners and Qualcomm",nan,"48,89,975.54",nan,2019,6,201906,Other,4889975.54
42,43,03/06/2019,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,"90,00,000",nan,2019,6,201906,Series A,9000000.0
43,44,04/06/2019,BharatPe,Finance,FinTech,New Delhi,Insight Partners,Series B,"7,50,00,000",nan,2019,6,201906,Series B,75000000.0
